sleeper_player_id,first_name,last_name,full_name,position,nfl_team,number,status,injury_status
13026,Moochie,Dixon,Moochie Dixon,WR,,84,Active,
11261,Andre,Szmyt,Andre Szmyt,K,CLE,25,Active,
12688,Cam,Miller,Cam Miller,QB,LV,5,Active,
1535,Cordarrelle,Patterson,Cordarrelle Patterson,RB,,84,Active,
11197,Joel,Honigford,Joel Honigford,TE,,42,Active,
12898,Seth,Henigan,Seth Henigan,QB,,19,Active,
8755,Kaden,Davis,Kaden Davis,WR,CLE,89,Active,
8799,Zaire,Mitchell-Paden,Zaire Mitchell-Paden,TE,NO,84,Active,Out
4274,David,Moore,David Moore,WR,CAR,83,Inactive,IR
6853,Van,Jefferson,Van Jefferson,WR,TEN,11,Active,
8572,Andrew,Parchment,Andrew Parchment,WR,,0,Active,Questionable
208,Josh,McCown,Josh McCown,QB,,3,Active,
12800,Oscar,Cardenas,Oscar Cardenas,TE,,45,Active,
11276,Joseph,Ngata,Joseph Ngata,WR,,86,Active,
8116,Pierre,Strong,Pierre Strong,RB,GB,22,Active,
11201,Blake,Whiteheart,Blake Whiteheart,TE,CLE,86,Active,
181,Drew,Stanton,Drew Stanton,QB,,0,Active,
13047,Jacardia,Wright,Jacardia Wright,RB,SEA,31,Active,Out
12114,Joshua,Cephus,Joshua Cephus,WR,JAX,18,Inactive,IR
7992,Matt,Bushman,Matt Bushman,TE,,49,Active,
120,Adam,Vinatieri,Adam Vinatieri,K,,0,Injured Reserve,
8157,Bailey,Zappe,Bailey Zappe,QB,CLE,11,Active,
11949,Brayden,Narveson,Brayden Narveson,K,,,Active,
8570,Derek,Wright,Derek Wright,WR,,83,Active,Questionable
12135,Neal,Johnson,Neal Johnson,TE,,86,Active,
10210,Cameron,Latu,Cameron Latu,TE,PHI,36,Active,
5189,Eddy,Pineiro,Eddy Pineiro,K,SF,18,Active,
12817,Jake,Briningstool,Jake Briningstool,TE,KC,88,Inactive,IR
11113,Joel,Wilson,Joel Wilson,TE,TEN,83,Active,
7552,Blake,Proehl,Blake Proehl,WR,,13,Active,
12735,Caleb,Lohner,Caleb Lohner,TE,DEN,84,Active,
12746,JP,Richardson,JP Richardson,WR,CHI,83,Active,
13151,Nick,Kallerup,Nick Kallerup,TE,SEA,89,Active,Out
1048,Lamar,Miller,Lamar Miller,RB,,0,Active,
7812,Simi,Fehoko,Simi Fehoko,WR,ARI,80,Active,
7757,Ben,Skowronek,Ben Skowronek,WR,PIT,15,Active,
2106,David,Fales,David Fales,QB,,3,Active,
12963,Kayron,Lynch-Adams,Kayron Lynch-Adams,RB,,34,Active,
4455,Matt,Breida,Matt Breida,RB,,28,Active,
8178,Braylon,Sanders,Braylon Sanders,WR,,80,Active,
13013,Mark,Redman,Mark Redman,TE,LAR,83,Active,
12884,Quincy,Skinner,Quincy Skinner,WR,,83,Active,
12699,LaJohntay,Wester,LaJohntay Wester,WR,BAL,83,Active,
6420,Jon'Vea,Johnson,Jon'Vea Johnson,WR,,0,Active,
7548,Tyler,Vaughns,Tyler Vaughns,WR,,80,Active,
4460,Cole,Hikutini,Cole Hikutini,TE,,0,Inactive,
11649,Kendall,Milton,Kendall Milton,RB,CIN,36,Active,
1071,Mohamed,Sanu,Mohamed Sanu,WR,,16,Active,
6918,Salvon,Ahmed,Salvon Ahmed,RB,IND,36,Inactive,IR
8114,Erik,Ezukanma,Erik Ezukanma,WR,,89,Active,
8595,Kyric,McGowan,Kyric McGowan,WR,,87,Active,
7607,Michael,Carter,Michael Carter,RB,ARI,22,Active,
6595,Devlin,Hodges,Devlin Hodges,QB,,0,Active,
5323,Equanimeous,St. Brown,Equanimeous St. Brown,WR,,7,Inactive,Questionable
3362,Jeff,Driskel,Jeff Driskel,QB,,17,Active,
13042,Xavier,Guillory,Xavier Guillory,WR,,87,Active,Questionable
13149,Caden,Davis,Caden Davis,K,,36,Active,
13217,Hunter,Dekkers,Hunter Dekkers,QB,NO,18,Active,Out
8170,James,Mitchell,James Mitchell,TE,CAR,85,Active,Out
13124,Jeremiah,Webb,Jeremiah Webb,WR,NE,29,Active,
3242,Kenyan,Drake,Kenyan Drake,RB,,32,Active,
6175,Kerrith,Whyte,Kerrith Whyte,RB,GB,34,Active,
5980,Myles,Gaskin,Myles Gaskin,RB,SEA,22,Active,
12762,Payton,Thorne,Payton Thorne,QB,,10,Active,
3423,Robbie,Chosen,Robbie Chosen,WR,,12,Active,
12892,Da'Quan,Felton,Da'Quan Felton,WR,NYG,83,Inactive,IR
12118,Jacob,Warren,Jacob Warren,TE,,,Active,
7121,Justin,Rohrwasser,Justin Rohrwasser,K,,5,Inactive,
12826,Ulysses,Bentley,Ulysses Bentley,RB,IND,37,Active,
6955,James,Robinson,James Robinson,RB,,26,Active,
5709,Luis,Perez,Luis Perez,QB,,11,Active,
5957,Isaac,Nauta,Isaac Nauta,TE,GB,82,Inactive,Questionable
8435,Kwamie,Lassiter,Kwamie Lassiter,WR,,18,Active,
11558,Sam,Hartman,Sam Hartman,QB,WAS,15,Active,
12984,CJ,Dippre,CJ Dippre,TE,NE,82,Active,
12824,Maddux,Trujillo,Maddux Trujillo,K,,48,Active,
9489,Justin,Shorter,Justin Shorter,WR,LV,88,Active,
4151,Jake,Butt,Jake Butt,TE,,0,Injured Reserve,
6185,Easton,Stick,Easton Stick,QB,ATL,12,Active,
5285,Ross,Dwelley,Ross Dwelley,TE,DET,82,Active,
6290,Scotty,Miller,Scotty Miller,WR,PIT,13,Active,Out
12757,Hal,Presley,Hal Presley,WR,TEN,81,Active,
8089,Sal,Cannella,Sal Cannella,TE,CLE,87,Active,
8613,Taysir,Mack,Taysir Mack,WR,,0,Active,
10224,Brayden,Willis,Brayden Willis,TE,SF,82,Active,
6699,Gunner,Olszewski,Gunner Olszewski,WR,NYG,80,Active,
1338,Matt,Barkley,Matt Barkley,QB,,19,Active,
4197,Isaiah,McKenzie,Isaiah McKenzie,WR,,3,Active,
7407,Isaiah,Wright,Isaiah Wright,WR,,0,Active,
12398,Jadon,Janke,Jadon Janke,WR,,82,Active,Questionable
13032,Marshall,Lang,Marshall Lang,TE,,80,Active,
11821,Tahj,Washington,Tahj Washington,WR,MIA,84,Active,Out
7956,Cade,Johnson,Cade Johnson,WR,,88,Active,
3488,D.J.,Foster,D.J. Foster,RB,,37,Inactive,
6223,Juwann,Winfree,Juwann Winfree,WR,,15,Inactive,Questionable
8828,Michael,Young,Michael Young,WR,,0,Active,
4651,Corey,Clement,Corey Clement,RB,,23,Active,
13249,Thomas,Gordon,Thomas Gordon,TE,,48,Active,
8051,Josh,Johnson,Josh Johnson,RB,,34,Inactive,Questionable
8140,Justyn,Ross,Justyn Ross,WR,,82,Active,
4054,Mo,Alie-Cox,Mo Alie-Cox,TE,IND,81,Active,
2673,Damiere,Byrd,Damiere Byrd,WR,,89,Active,
3391,Dwayne,Washington,Dwayne Washington,RB,,39,Active,Questionable
11520,Lucky,Jackson,Lucky Jackson,WR,,21,Active,
11073,Thayer,Thomas,Thayer Thomas,WR,,89,Active,Questionable
2422,Blake,Bell,Blake Bell,TE,,81,Active,
11588,Jawhar,Jordan,Jawhar Jordan,RB,HOU,26,Active,
5110,Russell,Gage,Russell Gage,WR,SF,14,Active,
13079,Jahdae,Walker,Jahdae Walker,WR,CHI,20,Active,
8428,Zander,Horvath,Zander Horvath,RB,,26,Active,
3177,Corey,Coleman,Corey Coleman,WR,,89,Active,
13053,Daniel,Jackson,Daniel Jackson,WR,,85,Active,
10214,Davis,Allen,Davis Allen,TE,LAR,87,Active,
2334,Phillip,Dorsett,Phillip Dorsett,WR,LV,13,Active,
13211,John,Hoyland,John Hoyland,K,,5,Active,
11540,La'Michael,Pettway,La'Michael Pettway,TE,,46,Active,
10233,Max,Duggan,Max Duggan,QB,,8,Active,
12254,Phillip,Brooks,Phillip Brooks,WR,,,Active,
7105,Ramiz,Ahmed,Ramiz Ahmed,K,,3,Active,
4669,Andre,Patton,Andre Patton,WR,,0,Active,
7865,Brandon,Smith,Brandon Smith,WR,NYJ,87,Active,
12395,Tanner,Knue,Tanner Knue,WR,,80,Active,
12191,Trent,Pennix,Trent Pennix,TE,,,Active,
11457,Trey,Wolff,Trey Wolff,K,,40,Active,
6778,Chris,Streveler,Chris Streveler,QB,,15,Inactive,
2346,Devin,Funchess,Devin Funchess,TE,,13,Active,
5068,Kerryon,Johnson,Kerryon Johnson,RB,,0,Active,
11092,B.T.,Potter,B.T. Potter,K,,3,Active,
5122,Boston,Scott,Boston Scott,RB,,33,Active,
11645,Javon,Baker,Javon Baker,WR,,86,Active,
12197,John,Paddock,John Paddock,QB,,,Active,
12385,Jude,McAtamney,Jude McAtamney,K,NYG,99,Active,
8706,Kehinde,Oginni,Kehinde Oginni,TE,,72,Active,
13208,Kyrese,Rowan,Kyrese Rowan,WR,DEN,80,Active,
10862,Dorian,Thompson-Robinson,Dorian Thompson-Robinson,QB,,14,Active,
4127,C.J.,Beathard,C.J. Beathard,QB,DET,17,Active,
11046,Colton,Dowell,Colton Dowell,WR,,85,Active,Questionable
4089,Gerald,Everett,Gerald Everett,TE,,14,Active,
12829,Coleman,Owen,Coleman Owen,WR,IND,9,Active,
6866,KJ,Hill,KJ Hill,WR,LAC,84,Active,
11070,Kazmeir,Allen,Kazmeir Allen,WR,,22,Active,
5233,Marcus,Baugh,Marcus Baugh,TE,,0,Active,
8255,Raheem,Blackshear,Raheem Blackshear,RB,PIT,29,Active,
3161,Carson,Wentz,Carson Wentz,QB,MIN,11,Inactive,IR
11619,Ja'Lynn,Polk,Ja'Lynn Polk,WR,NO,89,Inactive,IR
8484,Ko,Kieft,Ko Kieft,TE,TB,41,Inactive,IR
3155,Laquon,Treadwell,Laquon Treadwell,WR,IND,13,Active,
11068,Mitch,Tinsley,Mitch Tinsley,WR,CIN,82,Active,
9491,Ty,Scott,Ty Scott,WR,,81,Active,
12532,Ja'Corey,Brooks,Ja'Corey Brooks,WR,WAS,88,Active,
9231,Jaren,Hall,Jaren Hall,QB,,15,Active,
11946,Marcus,Rosemy-Jacksaint,Marcus Rosemy-Jacksaint,WR,,,Active,
8196,Ty,Fryfogle,Ty Fryfogle,WR,,13,Active,
13064,Dorian,Singer,Dorian Singer,WR,,13,Active,
12866,Jalin,Conyers,Jalin Conyers,TE,MIA,47,Inactive,IR
10869,Matt,Landers,Matt Landers,WR,,83,Active,
8005,Tarik,Black,Tarik Black,WR,,86,Active,
13034,Tyrone,Broden,Tyrone Broden,WR,SEA,85,Active,
7535,Hunter,Long,Hunter Long,TE,JAX,84,Active,
11911,Jeshaun,Jones,Jeshaun Jones,WR,MIN,82,Active,
11378,Jordan,Mims,Jordan Mims,RB,TEN,24,Active,
7529,Gary,Brightwell,Gary Brightwell,RB,CIN,32,Active,
6885,Ke'Shawn,Vaughn,Ke'Shawn Vaughn,RB,,30,Active,
11105,Shaquan,Davis,Shaquan Davis,WR,,82,Active,
