sleeper_player_id,match_method,source_website,week,player_first_name,player_last_name,position,team,projected_points,created_at
4033,automatic,espn.com,Week 12,David,Njoku,TE,CLE,6.5,2025-11-20 18:03:39
7670,automatic,fantasypros.com,Week 12,Joshua,Palmer,WR,BUF,6.5,2025-11-20 18:03:39
11630,automatic,fantasypros.com,Week 12,Roman,Wilson,WR,PIT,6.5,2025-11-20 18:03:39
4381,automatic,fantasypros.com,Week 12,Taysom,Hill,TE,NO,6.5,2025-11-20 18:03:39
5906,automatic,fantasypros.com,Week 12,Dawson,Knox,TE,BUF,6.5,2025-11-20 18:03:39
KC,dst_team_match,fantasypros.com,Week 12,Kansas City Chiefs,Defense,DST,KC,6.5,2025-11-20 18:03:39
11646,automatic,fanduel.com,Week 12,Jalen,Coker,WR,CAR,6.45,2025-11-20 18:03:39
8132,automatic,fanduel.com,Week 11,Tyler,Allgeier,RB,ATL,6.44,2025-11-20 18:03:39
BUF,dst_team_match,espn.com,Week 10,Bills D/ST,Defense,DST,BUF,6.4,2025-11-20 18:03:39
12961,automatic,fantasypros.com,Week 10,Ryan,Fitzgerald,K,CAR,6.4,2025-11-20 18:03:39
3269,automatic,firstdown.studio,Week 10,Chris,Moore,WR,WAS,6.4,2025-11-20 18:03:39
7567,automatic,firstdown.studio,Week 10,Kenneth,Gainwell,RB,PIT,6.4,2025-11-20 18:03:39
8131,automatic,firstdown.studio,Week 10,Isaiah,Likely,TE,BAL,6.4,2025-11-20 18:03:39
2197,automatic,firstdown.studio,Week 10,Brandin,Cooks,WR,NO,6.4,2025-11-20 18:03:39
650,automatic,sleeper.com,Week 11,Nick,Folk,K,NYJ,6.4,2025-11-20 18:03:39
8210,automatic,espn.com,Week 11,Chig,Okonkwo,TE,TEN,6.4,2025-11-20 18:03:39
8408,automatic,fantasypros.com,Week 11,Jordan,Mason,RB,MIN,6.4,2025-11-20 18:03:39
4233,automatic,fantasypros.com,Week 11,Zane,Gonzalez,K,ATL,6.4,2025-11-20 18:03:39
7600,automatic,firstdown.studio,Week 11,Pat,Freiermuth,TE,PIT,6.4,2025-11-20 18:03:39
7600,automatic,sleeper.com,Week 12,Pat,Freiermuth,TE,PIT,6.4,2025-11-20 18:03:39
650,automatic,sleeper.com,Week 12,Nick,Folk,K,NYJ,6.4,2025-11-20 18:03:39
8136,automatic,espn.com,Week 12,Rachaad,White,RB,TB,6.4,2025-11-20 18:03:39
4988,automatic,espn.com,Week 12,Nick,Chubb,RB,HOU,6.4,2025-11-20 18:03:39
9479,automatic,espn.com,Week 12,Darnell,Washington,TE,PIT,6.4,2025-11-20 18:03:39
JAX,dst_team_match,espn.com,Week 12,Jaguars D/ST,Defense,DST,JAX,6.4,2025-11-20 18:03:39
8154,automatic,fantasypros.com,Week 12,Brian,Robinson Jr.,RB,SF,6.4,2025-11-20 18:03:39
4950,automatic,fantasypros.com,Week 12,Christian,Kirk,WR,HOU,6.4,2025-11-20 18:03:39
12547,automatic,fantasypros.com,Week 12,Kyle,Williams,WR,NE,6.4,2025-11-20 18:03:39
3451,automatic,fantasypros.com,Week 12,Ka'imi,Fairbairn,K,HOU,6.4,2025-11-20 18:03:39
,,fantasypros.com,Week 12,Isaiah,Hodgins,WR,NYG,6.4,2025-11-20 18:03:39
8143,automatic,fanduel.com,Week 10,Jerome,Ford,RB,CLE,6.39,2025-11-20 18:03:39
6271,automatic,fanduel.com,Week 11,Olamide,Zaccheaus,WR,CHI,6.39,2025-11-20 18:03:39
4144,automatic,fanduel.com,Week 10,Jonnu,Smith,TE,PIT,6.37,2025-11-20 18:03:39
4082,automatic,fanduel.com,Week 11,Curtis,Samuel,WR,BUF,6.34,2025-11-20 18:03:39
7090,automatic,fanduel.com,Week 10,Darnell,Mooney,WR,ATL,6.33,2025-11-20 18:03:39
5906,automatic,fanduel.com,Week 12,Dawson,Knox,TE,BUF,6.32,2025-11-20 18:03:39
8408,automatic,fanduel.com,Week 12,Jordan,Mason,RB,MIN,6.32,2025-11-20 18:03:39
CAR,dst_team_match,espn.com,Week 10,Panthers D/ST,Defense,DST,CAR,6.3,2025-11-20 18:03:39
1426,automatic,fantasypros.com,Week 10,DeAndre,Hopkins,WR,BAL,6.3,2025-11-20 18:03:39
12501,automatic,fantasypros.com,Week 10,Matthew,Golden,WR,GB,6.3,2025-11-20 18:03:39
11571,automatic,firstdown.studio,Week 10,Isaiah,Davis,RB,NYJ,6.3,2025-11-20 18:03:39
7571,automatic,firstdown.studio,Week 10,Rashod,Bateman,WR,BAL,6.3,2025-11-20 18:03:39
4219,automatic,sleeper.com,Week 11,Jeremy,McNichols,RB,WAS,6.3,2025-11-20 18:03:39
12484,automatic,firstdown.studio,Week 11,Jayden,Higgins,WR,HOU,6.3,2025-11-20 18:03:39
11589,automatic,sleeper.com,Week 12,Trey,Benson,RB,ARI,6.3,2025-11-20 18:03:39
11377,automatic,sleeper.com,Week 12,Tyrell,Shavers,WR,BUF,6.3,2025-11-20 18:03:39
11600,automatic,espn.com,Week 12,Ja'Tavion,Sanders,TE,CAR,6.3,2025-11-20 18:03:39
DET,dst_team_match,espn.com,Week 12,Lions D/ST,Defense,DST,DET,6.3,2025-11-20 18:03:39
8408,automatic,fantasypros.com,Week 12,Jordan,Mason,RB,MIN,6.3,2025-11-20 18:03:39
11199,automatic,fanduel.com,Week 11,Emari,Demercado,RB,ARI,6.29,2025-11-20 18:03:39
7670,automatic,fanduel.com,Week 12,Josh,Palmer,WR,BUF,6.29,2025-11-20 18:03:39
